========================================================
  STMO Research Report
  Sea Turtle Migration Optimization
  OAS-SDST ??Wu et al. (2018) Applied Soft Computing
========================================================

[Configuration]
  Problem       : N=100 orders, M=9 machines, Seed=10
  Population    : P=30 turtles, NC=3 candidates/turtle
  Stopping      : END_TIME=120s, MAX_ITER=2500
  PairMemory    : DF=0.95, MIN_COUNT=3, GHOST=0.010
  Labels        : STRONG_mult=0.5, WEAK_mult=0.5
  Stage2        : MACHINE_BUDGET=3, MAX_ATTEMPTS=5
  Stage4/5      : K_STAG=50, E_SIZE=5

[Final Summary]
  Best Z          : 6698.0977
  Total iters     : 2500 / 2500
  Time used       : 87.57 s / 120 s
  Best at iter    : 2494 (99.8% of run)
  New-best events : 151
  Stagnation resets: 31

[Phase Attribution ??which stages produced new bests]
  Stage 1/2   (Exploration + Repair) : 94 events (62.3%)
  Stage 3/4/5 (Memory + Elite)       : 19 events (12.6%)
  Both contributed same iteration    : 38 events (25.2%)

[Stage Activity Summary]
  Stage 2 total repairs : 400057
  Stage 4 Phase1 hits   : 57

[PairMemory Final Label Distribution]
  Total entries  : 690
  STRONG         : 191 (27.7%)
  NEUTRAL        : 265 (38.4%)
  WEAK           : 234 (33.9%)
  CRITICAL       : 0 (0.0%)
  Unlabelled     : 0 (0.0%)
  TripletMemory  : 79 entries
  Elite archive  : 5 / 5

[Diagnosis]
  OK Convergence looks healthy (best at iter 2494 of 2500)
  OK Stage 2 active (400057 repairs)
  OK Stage 4 Phase1 active (57 hits)

[New Best Events ??logged every time Best Z improved]
Iter   Time(s)   BestZ         DeltaZ        Source        
------ --------- ------------- ------------- --------------
1      0.01      -19198.75     628.72        Stage1/2      
2      0.01      -18385.75     812.99        Both          
3      0.02      -16878.44     1507.32       Stage1/2      
4      0.02      -15244.57     1633.87       Both          
5      0.03      -15127.98     116.58        Both          
6      0.04      -13661.24     1466.74       Stage1/2      
7      0.04      -12459.91     1201.33       Both          
8      0.05      -11976.79     483.12        Stage1/2      
9      0.06      -11277.21     699.57        Stage1/2      
10     0.07      -10775.04     502.17        Stage1/2      
11     0.08      -10552.06     222.97        Stage3/4/5    
12     0.09      -10534.57     17.50         Stage1/2      
13     0.11      -9836.66      697.91        Stage1/2      
14     0.12      -9237.11      599.55        Stage1/2      
15     0.14      -8854.38      382.73        Stage1/2      
16     0.16      -8585.08      269.30        Stage1/2      
17     0.17      -7883.95      701.13        Both          
18     0.18      -6894.65      989.31        Stage1/2      
19     0.19      -5928.24      966.41        Both          
20     0.21      -5824.13      104.11        Stage3/4/5    
21     0.23      -5653.22      170.91        Stage1/2      
22     0.25      -5604.82      48.41         Stage1/2      
23     0.26      -5313.18      291.63        Stage1/2      
26     0.32      -5195.76      117.43        Stage1/2      
30     0.40      -5168.11      27.64         Stage1/2      
32     0.45      -5052.05      116.06        Stage1/2      
33     0.47      -4409.04      643.02        Stage1/2      
36     0.54      -4200.14      208.89        Stage1/2      
37     0.56      -4165.47      34.67         Stage1/2      
38     0.58      -3891.73      273.74        Stage1/2      
39     0.60      -3541.11      350.62        Stage1/2      
40     0.61      -3483.66      57.45         Both          
41     0.63      -3201.15      282.51        Stage1/2      
